Account_ID,Account_Name,Industry,Phone,Website
A001,BrightTech Solutions,Technology,9876543210,https://brighttech.com
A002,Bright Tech Solutions,Technology,9876543210,https://brighttech.com
A003,Nova Enterprises,Finance,9823456789,https://nova.com
A004,GreenField Industries,Manufacturing,,https://greenfield.com
A005,UrbanEdge Retail,Retail,9812345678,urbanedge.com
A006,TechNova Systems,Technology,9898989898,https://technova.com
A007,Global Finance Ltd,Finance,9876501234,https://globalfinance.com
A008,Sunrise Healthcare,Healthcare,9876512345,https://sunrisehealth.com
A009,BlueSky Logistics,Logistics,9866012345,https://bluesky.com
A010,PrimeBuild Constructions,Construction,9855012345,https://primebuild.com
